uuid,name,brand,street,house_number,post_code,city,latitude,longitude,cluster_20,cluster_25,cluster_30,cluster_35,cluster_40
0abaccf2-5efa-4536-b5c5-afe3932e3724,"MUENCHEN, UNGERERSTR.",Shell,UNGERERSTR. 65,,80805,MUENCHEN,48.17129,11.594731,2.0,4.0,4.0,5.0,5
0c3b710a-3aae-45c9-998d-e0783ef83b60,"MUENCHEN, GRILLPARZERSTR",Shell,GRILLPARZERSTR. 15,,81675,MUENCHEN,48.134553,11.609854,3.0,5.0,5.0,6.0,6
0e18d0d3-ed38-4e7f-a18e-507a78ad901d,OIL! Tankstelle München,OIL!,Eversbuschstraße 33,,80999,München,48.1807,11.4609,2.0,4.0,4.0,5.0,5
0e630d02-c047-4bc4-b7f4-66450b4ffd67,MUENCHEN - QUIDDESTRAßE,Agip,Quiddestraße,31,81735,Muenchen,48.10898,11.64326,3.0,5.0,5.0,6.0,6
0e958d31-5503-4b9c-bf1d-5a18e20c473e,"MUENCHEN, SCHLEISSHEIMER STR.",Shell,SCHLEISSHEIMER STR. 272,,80809,MUENCHEN,48.174502,11.566272,2.0,4.0,4.0,5.0,5
0ea2f653-bce6-4e71-80b2-8cf7c893ba54,Aral Tankstelle,ARAL,Münchener Straße,42,82131,Gauting,48.06795,11.3872366,2.0,4.0,4.0,5.0,5
0f83c70b-31e7-43ba-967b-4361e5e69bf5,"ERDING, MUENCHENER STR.",Shell,MUENCHENER STR. 42,,85435,ERDING,48.303223,11.901461,,,,7.0,9
103afdaa-8f09-45df-a223-90f03f1f8d24,Poing Gruber Str. 80,OMV,Gruber Str.,80,85586,Poing,48.16862,11.7923,4.0,6.0,6.0,8.0,10
1106cf26-a0fa-48c3-8fdf-552dd038373b,"KARLSFELD, MÜNCHNER STR. 163.",Shell,MÜNCHNER STR. 163,,85757,KARLSFELD,48.225518,11.468155,2.0,4.0,4.0,5.0,5
11fd3e93-6c6e-43a5-baca-57260c10093c,ALLGUTH GmbH  c/o Gerald Poscharnig,ALLGUTH,Dieselstraße,100,85774,Unterföhring,48.18026,11.65478,3.0,5.0,5.0,6.0,6
123dd3f2-f551-4ecf-bda6-5b0be1a37005,BK-Tankstelle Uwe Möderl,,Hauptstraße ,9,82216,Maisach,48.2176,11.26055,,,2.0,2.0,2
1273302b-5410-4236-b8fa-391eaccb6295,Esso Tankstelle,ESSO,MUENCHENER STR. 57, ,85435,ERDING,48.301261,11.90053,,,,7.0,9
13c9783f-aaaf-471f-a296-d2b6f7dbb5d9,Tankstelle Schauer Stefanie,,Bahnhofstr. ,15,82299,Türkenfeld,48.10849,11.08265,,,,,11
16f46816-2141-41d4-b1d3-5ab808f1484d,BK-Tankstelle Auto Behnke GmbH,,Münchner Str. ,12,85667,Oberpframmern,48.0234,11.810742,,2.0,0.0,0.0,1
17e1d0a9-62fe-466d-9dac-455ef508dbfc,Aral Tankstelle,ARAL,Freischützstraße,4,81927,München,48.15757,11.6422386,3.0,5.0,5.0,6.0,6
19a36bac-ea1e-42b2-b7cd-c9f0fa8d0bd1,Esso Tankstelle,ESSO,WASSERBURGER LANDSTR. 292, ,81827,MUENCHEN,48.11079725,11.71430291,3.0,5.0,5.0,6.0,6
1a59fc8f-54b2-4793-9878-f55e023fb289,Bavaria Petrol,Bavaria Petrol,Zehentbauernstraße,7,81539,München,48.1142769,11.5762835,3.0,5.0,5.0,6.0,6
1b2de9d7-f360-4af8-a563-749a44418a27,ALLGUTH GmbH  c/o Alexander Schelling,ALLGUTH,Georg-Brauchle-Ring,30,80992,München,48.17653,11.535329,2.0,7.0,2.0,2.0,12
1b75ed80-2574-4156-aab9-5efb7d29e503,Esso Tankstelle,ESSO,UNGERERSTR. 54, ,80802,MUENCHEN,48.166116,11.590793,2.0,4.0,4.0,5.0,5
1cf17a0c-0091-4ea4-a12d-3ccf944c1947,Bavaria Petrol,Bavaria Petrol,Unterhachinger Straße,28,85521,Ottobrunn,48.0631447,11.6520119,0.0,0.0,0.0,0.0,0
1d46fba4-4886-4708-ae32-0ffad8d8a71f,"OTTOBRUNN, ROSENHEIMER LANDSTR.",Shell,ROSENHEIMER LANDSTR. 81,,85521,OTTOBRUNN,48.06027,11.664917,0.0,0.0,0.0,0.0,0
1f24686e-5700-43b0-9818-e7d9f000a9c2,BK-Tankstelle Anton Eschbaumer,,Ismaninger Straße ,13,85452,Moosinning,48.27554,11.834065,,2.0,0.0,0.0,1
1f4d9e78-38d8-45a5-84d0-2d6758380a1f,ALLGUTH GmbH  c/o Markus Berbalk,ALLGUTH,Chiemgaustr.,185,81549,München,48.109325,11.608658,3.0,5.0,5.0,6.0,6
1f939805-10bc-4227-967a-d96e97d9e48c,Aral Tankstelle,ARAL,Schondorfer Straße,12,86919,Utting am Ammersee,48.0277061,11.0855827,,,,,2
20d9d5ca-e707-40f6-8f92-d1d25aef555a,"DACHAU, WUERMSTR",Shell,WUERMSTR. 3,,85221,DACHAU,48.257508,11.462979,2.0,4.0,4.0,5.0,5
22ad5946-78de-4c03-8b3f-cb7bc0bf1c4d,ALLGUTH GmbH  c/o Maric Ivica,ALLGUTH,Münchner Str.,146,85757,Karlsfeld,48.22675,11.46493,2.0,4.0,4.0,5.0,5
23e00cd7-7415-4cda-a30a-836d26b3a4c3,"GILCHING, AM ROEMERSTEIN.",Shell,AM ROEMERSTEIN 16,,82205,GILCHING,48.105746,11.305187,,1.0,2.0,2.0,2
265e52da-a749-4517-9ba0-0566e9eaa33c,BK- Tankstelle Kastl,,Sonnenwiechserstr. ,43,83052,Bruckmühl,47.88371,11.927155,,,,,1
26bd62f8-6021-4418-ba4f-26100f8dca1e,"MUENCHEN, FUERSTENRIEDER STR.",Shell,FUERSTENRIEDER STR. 80,,80686,MUENCHEN,48.134003,11.502426,2.0,4.0,4.0,5.0,5
298ab794-5244-4a5f-8dbe-74c810c4c301,Esso Tankstelle,ESSO,ALLACHER STR. 20, ,80992,MUENCHEN,48.171821,11.507127,2.0,4.0,4.0,5.0,5
29b2c05b-a0ba-455f-b37a-d3c171358f31,Altomünster Aichacher Straße 13,OMV,Aichacher Str.,13,85250,Altomünster,48.38467,11.25065,,,,,8
2a6ec536-a1e2-44cd-aaa6-2abc46b36866,"München, Wasserburger Landstr. 285",HEM,Wasserburger Landstr.,285,81827,München,48.11121,11.71303,3.0,5.0,5.0,6.0,6
2aa5a805-38a3-450c-b92b-f08c78a5fad4,Aral Tankstelle,ARAL,Triebstraße,11e,80993,München,48.1876335,11.5308514,2.0,4.0,4.0,5.0,5
30638ceb-f6fe-4622-a22c-7b25602dbb05,TOTAL GROEBENZELL,TOTAL,OLCHINGER STR.,82,82194,GROEBENZELL,48.1861,11.384181,2.0,4.0,4.0,5.0,5
3118018a-15fe-4594-b75a-42d451037ff0,ALLGUTH GmbH  c/o Davide Cosentino,ALLGUTH,Fürstenrieder Straße,175,81377,München,48.11991,11.50302,2.0,8.0,7.0,9.0,13
32910e41-78b2-4c04-8170-38c3716c1232,Esso Tankstelle,ESSO,MUENCHENER STR. 15, ,85560,EBERSBERG,48.075966,11.963014,,,6.0,8.0,12
32f30926-01dd-41aa-9e05-7820caafd24f,Bavaria Petrol,Bavaria Petrol,Bodenseestraße,317,81249,München,48.1411858,11.4139547,2.0,4.0,4.0,5.0,5
340f434d-d973-48cd-930e-fd36bb46d124,ALLGUTH GmbH  c/o Thomas Ziegler,ALLGUTH,Leutstettener Str.,17,82319,Starnberg,48.0053,11.34913,,8.0,7.0,9.0,13
341c0b37-d4be-48d0-9f38-19a983694505,RAN Station,RAN,Münchner Str.,28,85354,Freising,48.3876,11.7368,,,,10.0,14
34ad8aa4-f447-4e08-be64-3142eb7629dd,Esso Tankstelle,ESSO,INNSBRUCKER RING 52, ,81671,MUENCHEN,48.123386,11.620232,3.0,5.0,5.0,6.0,6
34c0a4d3-3354-4f51-93ae-9e1b5bf6109f,VEWAG Verwaltungsgesellschaft mbH MW Tankstelle,,Alte Römer Str.,26,85435,Erding,48.31239,11.92051,,,,7.0,9
34c0c156-7eb2-4271-88e2-e7474dea15ca,Tankstelle Hedi Tauber,AVIA,Sonnenstraße,11,85232,Bergkirchen,48.259018,11.366684,,4.0,4.0,5.0,5
34d2cd04-efe1-4631-b56f-3d467f5988b6,TOTAL DACHAU,TOTAL,MUENCHNER STR,87,85221,DACHAU,48.245213,11.448775,2.0,4.0,4.0,5.0,5
364670ea-3d6c-448b-98e1-38c3b2bedb41,TAUFKIRCHEN - LINDENRING 5,Agip,Lindenring,5,82024,Taufkirchen,48.0521,11.60575,0.0,0.0,0.0,0.0,0
37b6464b-3645-4413-b635-46725421c835,Tansktelle Isen,Raiffeisen,Raiffeisenstr. ,1,84424,Isen,48.21389,12.05961,,,,,1
37d9e43f-38af-40e5-9402-abf6dee277c3,Aral Tankstelle,ARAL,Schleißheimer Straße,124,85748,Garching,48.2504,11.6067,7.0,10.0,9.0,12.0,16
3b7e660f-2f6c-4131-aece-8e859d8bdf62,Tankstelle Meier,Freie Tankstelle,Schulstraße ,1,85445,Schwaig,48.33946,11.83713,,,10.0,7.0,9
3bb87d5f-85b4-4206-ab88-58900c85d6d2,GRUENWALD - SUEDL.MUENCHENER STR.24,Agip,Suedl.Muenchener Str.,24 A,82031,Gruenwald,48.044654388867,11.528159934169,3.0,0.0,0.0,0.0,0
3cf58ebc-f182-445d-9e5e-3214576213a7,Krenn Tank-u. Shop GmbH,Freie Tankstelle Krenn,Kiefernstr. ,3,82549,Königsdorf,47.83168,11.478996,,,,13.0,7
3d2fe1ed-0684-4006-9b96-674a48debb8f,Aral Tankstelle,ARAL,Schleißheimer Straße,257,80809,München,48.1787872,11.5670967,2.0,4.0,4.0,5.0,5
3f0508b2-23a4-40bd-add2-f4b806bdf008,AVIA Tankstelle,AVIA,Freisinger Straße,2,85241,Hebertshausen,48.28949,11.471175,2.0,4.0,4.0,5.0,5
3f3b93ba-2d43-4d99-9416-efe161961bbb,MÜNCHEN - NEURIEDER STRASSE 18,Agip,Neurieder Strasse,18,81475,München,48.08752,11.48429,5.0,8.0,7.0,9.0,13
414897e6-396c-453a-98af-6816de6f3013,Tankstelle 1,Reitmayr TS,Augsburger Str. ,14,82178,Puchheim,48.1480546,11.3450828,8.0,2.0,1.0,14.0,11
417b06c4-5041-4e85-9227-8c9694ca9fb9,Esso Tankstelle,ESSO,ARNULFSTR. 279, ,80639,MUENCHEN,48.152336,11.514247,2.0,4.0,4.0,5.0,5
41c5eac2-7a17-46d8-90fe-d0a8c56db5fc,BK- Tankstelle Isarparkhaus,,Baader Str. ,6,80469,München,48.132946,11.580928,0.0,2.0,0.0,0.0,1
41d21507-a552-4311-873a-d0a2143292af,München Ottobrunner Straße 116,OMV,Ottobrunner Str.,116,81737,München,48.10269,11.62537,3.0,5.0,5.0,6.0,6
430f6f71-72cb-4996-9d4b-bb12d1793a92,ALLGUTH GmbH  c/o Qais Pirzai,ALLGUTH,Boschetsrieder Str.,139,81379,München,48.097958,11.511889,5.0,8.0,7.0,9.0,13
435c2e50-cc83-4620-9abc-0e972d7050d1,ALLGUTH GmbH  c/o Dragan Dugandzic,ALLGUTH ,Kreillerstraße,219,81825,München,48.121742,11.664057,3.0,5.0,5.0,6.0,6
43bd86fc-24e7-4880-9caf-8bc4d1fa42e9,TOTAL MUENCHEN,TOTAL,LERCHENAUER STR.,75,80809,MUENCHEN,48.18267,11.553935,2.0,4.0,4.0,5.0,5
4525cfca-7ed0-473c-add5-4ad165a93135,"BERG, A95 HOEHENRAIN OST",Shell,A95 HOEHENRAIN OST ,,82335,BERG,47.928612,11.401837,,,11.0,15.0,17
453b345b-e1a7-49a4-b785-89664328db7d,Aral Tankstelle,ARAL,Rosenheimer Straße,138,81669,München,48.1192055,11.6077719,3.0,5.0,5.0,6.0,6
47a417dc-a6f9-4890-b8e6-34672ab32f13,Pähl Unterhirschberg 4 a,Avanti,Unterhirschberg,4 a,82396,Pähl,47.8971,11.18832,,,,,5
4ab2ec26-a8ee-4e21-964d-a6425a9659b6,"KARLSFELD, MUENCHNER STR.",Shell,MUENCHNER STR. 174,,85757,KARLSFELD,48.224737,11.468527,2.0,4.0,4.0,5.0,5
4b7e7978-b9ac-4013-9c28-c6afbfd4cb2d,ALLGUTH GmbH c/o Roland Pawlik e.K.,ALLGUTH,Von-Kahr-Straße,1,80997,München,48.17871,11.48684,2.0,4.0,4.0,5.0,5
4b803544-57f2-49ae-9e49-670081e6d462,Garching Münchener Strasse 49,OMV,Münchener Str.,49,85748,Garching,48.24405,11.64723,7.0,10.0,9.0,12.0,16
4c256dc7-5995-4f7f-9b14-5eb222067462,Aral Tankstelle,ARAL,Isarstraße,3,85356,Freising,48.3974571,11.75929,,,,12.0,16
4ca27b13-2a7f-454d-a159-5907e83b1e24,ALLGUTH GmbH  c/o Werner Wagner,ALLGUTH,Landsberger Straße,90,82205,Gilching,48.09449,11.283,,8.0,7.0,9.0,13
4ced61f8-5a8f-4e52-9af6-57de5e3bff47,AVIA Tankstelle,AVIA,Hauptstraße,1,85254,Sulzemoos,48.28829,11.267048,,,2.0,5.0,5
51d4b42c-a095-1aa0-e100-80009459e03a,JET EGLHARTING HAUPTSTR. 45,JET,HAUPTSTR. 45,,85614,EGLHARTING,48.0819,11.8584,,1.0,6.0,8.0,12
51d4b442-a095-1aa0-e100-80009459e03a,JET KRAILLING GAUTINGER STR. 59,JET,GAUTINGER STR. 59,,82152,KRAILLING,48.09345,11.41162,2.0,4.0,4.0,5.0,5
51d4b46a-a095-1aa0-e100-80009459e03a,JET INNING BRUCKER STR. 2,JET,BRUCKER STR. 2,,82266,INNING,48.0788,11.1523,,,,5.0,2
51d4b47e-a095-1aa0-e100-80009459e03a,JET MUENCHEN TRUDERINGER STRASSE 186,JET,TRUDERINGER STRASSE 186,,81825,MUENCHEN,48.131712,11.643577,3.0,5.0,5.0,6.0,6
51d4b485-a095-1aa0-e100-80009459e03a,JET DACHAU DAIMLERSTR. 1,JET,DAIMLERSTR. 1,,85221,DACHAU,48.2618,11.4685,2.0,4.0,4.0,5.0,5
51d4b506-a095-1aa0-e100-80009459e03a,JET MUENCHEN VERDISTR. 142,JET,VERDISTR. 142,,81247,MUENCHEN,48.1648,11.4597,10.0,12.0,13.0,17.0,19
51d4b531-a095-1aa0-e100-80009459e03a,JET FELDKIRCHEN MUENCHNER STR. 23,JET,MUENCHNER STR. 23,,85622,FELDKIRCHEN,48.1448,11.7256,4.0,6.0,6.0,8.0,10
51d4b589-a095-1aa0-e100-80009459e03a,JET FREISING LANDSHUTER STRASSE 47,JET,LANDSHUTER STRASSE 47,,85356,FREISING,48.4065,11.7614,,,,12.0,16
51d4b591-a095-1aa0-e100-80009459e03a,JET MUENCHEN WOTANSTR. 85,JET,WOTANSTR. 85,,80639,MUENCHEN,48.1528,11.5073,2.0,4.0,4.0,5.0,5
51d4b5b3-a095-1aa0-e100-80009459e03a,JET MUENCHEN FUERSTENRIEDER STR. 98,JET,FUERSTENRIEDER STR. 98,,80686,MUENCHEN,48.1315,11.5027,2.0,4.0,4.0,5.0,5
51d4b5e8-a095-1aa0-e100-80009459e03a,Supermarkt-Tankstelle PULLACH WOLFRATSHAUSER STR. 110,Supermarkt-Tankstelle,WOLFRATSHAUSER STR. 110,,82049,PULLACH,48.06581,11.51658,5.0,8.0,7.0,9.0,13
51d4b61c-a095-1aa0-e100-80009459e03a,JET MUENCHEN DACHAUER STR. 240,JET,DACHAUER STR. 240,,80992,MUENCHEN,48.1785,11.5171,2.0,4.0,4.0,5.0,5
51d4b701-a095-1aa0-e100-80009459e03a,JET FORSTING PFAFFING MUENCHNER STR. 1B,JET,MUENCHNER STR. 1B,,83539,FORSTING PFAFFING,48.08,12.095,,,,,0
51d4b71e-a095-1aa0-e100-80009459e03a,JET MUENCHEN KARL-MARX-RING 48,JET,KARL-MARX-RING 48,,81735,MUENCHEN,48.107775,11.657653,3.0,5.0,5.0,6.0,6
52d554ea-73ce-4d4c-bee3-0a858ededb33,"MUENCHEN, LEOPOLDSTR.",Shell,LEOPOLDSTR. 140,,80804,MUENCHEN,48.168581,11.586574,2.0,4.0,4.0,5.0,5
52f1e679-abc9-45c7-ae19-0b5e5a73194a,OIL! Tankstelle Karlsfeld,OIL!,Boschstr. 12,,85757,Karlsfeld,48.2261,11.4847,2.0,4.0,4.0,5.0,5
5342d82a-fefd-44c8-a59d-be8111fdb867,"MUENCHEN, WILHELM.-HALE-STR.",Shell,WILHELM-HALE-STR. 55,,80639,MUENCHEN,48.148951,11.519951,2.0,4.0,4.0,5.0,5
53a40ec8-4a9c-459f-812d-27b64f0805ee,ALLGUTH GmbH  c/o Fr. Olena Fastovets-Guba,ALLGUTH,Hauptstr.,24,85664,Hohenlinden,48.155994,11.999013,,,,19.0,20
54653788-7857-4a91-baf7-7e58a8145224,Aral Tankstelle,ARAL,Nymphenburger Straße,205,80639,München,48.15773,11.5282726,2.0,4.0,4.0,5.0,5
5511a3ad-8e10-4838-8acb-1915927606d9,TOTAL MUENCHEN,TOTAL,MOOSACHER STR.,36,80809,MUENCHEN,48.18645,11.556034,2.0,4.0,4.0,5.0,5
553e94f7-94a5-4b98-918a-80e063fdcdad,"WOLFRATSHAUSEN, KOENIGSDORFER STR.",Shell,KOENIGSDORFER STR. 47,,82515,WOLFRATSHAUSEN,47.908327,11.428295,,,15.0,20.0,21
554aeca7-4b82-4b5a-b85f-1379e4b23352,TOTAL NEUFAHRN,TOTAL,MUENCHENER STR.,11A,85375,NEUFAHRN,48.31836,11.691503,,10.0,9.0,12.0,16
5603b5cf-e657-44a5-87d8-e0dfd141e313,Aral Tankstelle,ARAL,Gilchingerstraße,31,82239,Alling,48.1381,11.2993889,,1.0,2.0,2.0,2
56b46d12-9b37-457a-af36-b170356f49f6,BayWa Tankstelle Schondorf am Ammersee,BayWa,Landsberger Str. ,10,86938,Schondorf am Ammersee,48.054714,11.088136,,,,,2
5741629b-92a8-4a69-878a-e9b496a65dfa,Aral Tankstelle,ARAL,Georg-Brauchle-Ring,27,80992,München,48.1761055,11.5356159,2.0,4.0,4.0,5.0,5
59a68826-5a76-499f-82d3-f49fc076d284,TOTAL MUENCHEN,TOTAL,DETMOLDSTR.,1,80935,MUENCHEN,48.19231,11.564284,2.0,4.0,4.0,5.0,5
5c260943-10ef-4129-8036-ad49ae5f35d5,MUENCHEN - VON-KAHR-STR. 62,Agip,Von-Kahr-Str.,62,80999,Muenchen,48.17759,11.46744,2.0,4.0,4.0,5.0,5
5c731c1c-1682-4f5e-9eb3-723b79fcac83,Raiffeisen Aßling,Raiffeisen Aßling,Rosenheimer Str.,41,85617,Aßling,47.9869,12.004,,,,,3
5c751aeb-d343-4e51-bd77-d0204dfce418,ISMANING - MUENCHNER STR.57,Agip,Muenchner Str.,57,85737,Ismaning,48.223357665253,11.669466114702,3.0,5.0,5.0,6.0,6
5c97286d-228e-4def-8d30-2c2f63668b92,"MUENCHEN, NYMPHENBURGER STR",Shell,NYMPHENBURGER STR. 57-59,,80335,MUENCHEN,48.149381,11.548005,2.0,4.0,4.0,5.0,5
5de4ac1e-69d6-4dd7-b5cf-eed0208f8214,Aral Tankstelle,ARAL,Münchener Straße,16,85540,Haar,48.10854,11.722106,3.0,5.0,5.0,6.0,6
5e793b3b-c021-4e36-bd2c-55e357a3638e,Bergkirchen Gadastraße 1,OMV,Gadastraße,1,85232,Bergkirchen,48.23738,11.35283,4.0,1.0,2.0,5.0,5
5f7e4b7d-482f-4707-a016-00c104984937,AEZ Tankstelle,Freie,Heimstättenstr. ,44,82256,Fürstenfeldbruck,48.17409,11.2326,,,1.0,14.0,11
5f84a3a0-be8d-4941-b950-6804ac925c64,Esso Tankstelle,ESSO,MUENCHENER STR. 16, ,85391,ALLERSHAUSEN,48.430312,11.593763,,,,21.0,22
60c3a07c-2ebe-4073-adae-a667e22fd4c8,Aral Tankstelle,ARAL,Heinrich-Wieland-Straße,2,81735,München,48.11833,11.63108,3.0,5.0,5.0,6.0,6
610d4bf4-b1a1-4939-9a1f-d18c9f01a07d,GERMERING,Agip,Lise-Meitner-Strasse,2,82110,Germering,48.141191,11.369412,2.0,4.0,4.0,5.0,5
620ba28e-edf4-43d7-bca3-eb0612952475,ALLGUTH GmbH  c/o Gabriele Schütz e.K.,ALLGUTH,Bodenseestr.,231,81243,München,48.142944,11.424927,2.0,4.0,4.0,5.0,5
628d1482-faae-499a-8679-3f87f8c471f1,Berg Höhenrain West A95,OMV,Höhenrain West ,A95,82335,Berg,47.92858,11.40197,,,16.0,22.0,23
628d8b6e-809e-40b9-4d49-6b370c589788,Tankstelle Schwägerl-Bäde,Freie Tankstelle Schwägerl-Bäde,Böhmerwaldstr.,23,82538,Geretsried,47.876258,11.470072,,,,23.0,24
62deee72-aaf3-4bd0-80e7-af9918b142ef,MUENCHEN - DACHAUER STRASSE 469,Agip,Dachauer Strasse,469,80993,Muenchen,48.1845378,11.5054179,2.0,4.0,4.0,5.0,5
63981d4f-ee3c-442a-9e60-930aa69f2cad,Aral Tankstelle,ARAL,Miesbacher Straße,33,83607,Holzkirchen,47.8758049,11.710166,,,,0.0,0
63b147a8-dccc-4bdb-bf00-8bde0dcecd10,Aral Tankstelle,ARAL,Pasinger Straße,50,82166,Gräfelfing,48.1181,11.4426651,2.0,4.0,4.0,5.0,5
65a5184f-f2cf-45ae-99a2-c96bd84e1740,Hallbergmoos Ludwigstraße 54,OMV,Ludwigstr.,54,85399,Hallbergmoos,48.33372,11.73143,,10.0,9.0,12.0,16
65d95b09-e1cb-454f-b3da-49876ad84561,Geretsried Sudetenstraße 67,OMV,Sudetenstr.,67,82538,Geretsried,47.85358,11.49494,,,,20.0,21
66ac515e-7960-4cbd-9f23-d5230944c134,"NEUFARN, MUENCHNER STR.",Shell,MUENCHNER STR. 26,,85646,NEUFARN,48.147598,11.815544,4.0,6.0,6.0,8.0,10
