Date,Price
6/1/2022,1.0646
6/2/2022,1.0733
6/3/2022,1.0721
6/6/2022,1.0699
6/7/2022,1.0697
6/8/2022,1.074
6/9/2022,1.0656
6/10/2022,1.0521
6/13/2022,1.0436
6/14/2022,1.0416
6/15/2022,1.0388
6/16/2022,1.0531
6/17/2022,1.0473
6/20/2022,ND
6/21/2022,1.0548
6/22/2022,1.0583
6/23/2022,1.0503
6/24/2022,1.0539
6/27/2022,1.0601
6/28/2022,1.0534
6/29/2022,1.0477
6/30/2022,1.0469
7/1/2022,1.0409
7/4/2022,ND
7/5/2022,1.0254
7/6/2022,1.0173
7/7/2022,1.0159
7/8/2022,1.0178
7/11/2022,1.0088
7/12/2022,1.0069
7/13/2022,1.0081
7/14/2022,1.0028
7/15/2022,1.0089
7/18/2022,1.016
7/19/2022,1.0238
7/20/2022,1.0217
7/21/2022,1.0197
7/22/2022,1.0225
7/25/2022,1.0211
7/26/2022,1.0116
7/27/2022,1.0108
7/28/2022,1.0163
7/29/2022,1.0202
8/1/2022,1.027
8/2/2022,1.0194
8/3/2022,1.0146
8/4/2022,1.0221
8/5/2022,1.017
8/8/2022,1.0207
8/9/2022,1.0226
8/10/2022,1.0337
8/11/2022,1.0338
8/12/2022,1.0257
8/15/2022,1.0186
8/16/2022,1.0174
8/17/2022,1.0164
8/18/2022,1.0114
8/19/2022,1.0039
8/22/2022,0.9936
8/23/2022,0.9976
8/24/2022,0.9967
8/25/2022,0.9959
8/26/2022,0.9998
8/29/2022,1
8/30/2022,1.0018
8/31/2022,1.0065
9/1/2022,0.995
9/2/2022,1.003
9/5/2022,ND
9/6/2022,0.9914
9/7/2022,0.9942
9/8/2022,0.9956
9/9/2022,1.0046
9/12/2022,1.0129
9/13/2022,0.9997
9/14/2022,0.9993
9/15/2022,0.9991
9/16/2022,1.0013
9/19/2022,1.0003
9/20/2022,0.9994
9/21/2022,0.988
9/22/2022,0.9841
9/23/2022,0.9719
9/26/2022,0.9623
9/27/2022,0.9616
9/28/2022,0.9681
9/29/2022,0.9774
9/30/2022,0.9783
10/3/2022,0.9809
10/4/2022,0.9977
10/5/2022,0.9866
10/6/2022,0.9806
10/7/2022,0.9785
10/10/2022,ND
10/11/2022,0.9757
10/12/2022,0.9692
10/13/2022,0.978
10/14/2022,0.9739
10/17/2022,0.9843
10/18/2022,0.9842
10/19/2022,0.978
10/20/2022,0.9823
10/21/2022,0.9855
10/24/2022,0.9874
10/25/2022,0.9959
10/26/2022,1.0068
10/27/2022,0.9985
10/28/2022,0.9934
10/31/2022,0.9885
11/1/2022,0.9871
11/2/2022,0.9875
11/3/2022,0.9759
11/4/2022,0.9895
11/7/2022,0.9997
11/8/2022,1.0089
11/9/2022,1.0037
11/10/2022,1.0176
11/11/2022,ND
11/14/2022,1.0337
11/15/2022,1.0372
11/16/2022,1.0395
11/17/2022,1.0341
11/18/2022,1.0349
11/21/2022,1.0238
11/22/2022,1.0276
11/23/2022,1.0364
11/24/2022,ND
11/25/2022,1.0402
11/28/2022,1.0386
11/29/2022,1.0356
11/30/2022,1.0323
12/1/2022,1.0498
12/2/2022,1.0521
12/5/2022,1.0494
12/6/2022,1.0497
12/7/2022,1.0505
12/8/2022,1.0552
12/9/2022,1.055
12/12/2022,1.0545
12/13/2022,1.063
12/14/2022,1.0655
12/15/2022,1.0638
12/16/2022,1.061
12/19/2022,1.0624
12/20/2022,1.0635
12/21/2022,1.0599
12/22/2022,1.0588
12/23/2022,1.0621
12/26/2022,ND
12/27/2022,1.0654
12/28/2022,1.0622
12/29/2022,1.0668
12/30/2022,1.0698
