,uuid,name,brand,street,house_number,post_code,city,latitude,longitude
5419,59a68826-5a76-499f-82d3-f49fc076d284,TOTAL MUENCHEN,TOTAL,DETMOLDSTR.,1,80935,MUENCHEN,48.19231,11.564284
5440,5a1e68c2-5492-41e1-bf15-8efcdad3e887,BayWa Tankstelle Erding-Bockhorn,BayWa,Gruckinger Str.,1,85461,Bockhorn/ED20,48.32974,11.972783
5459,5a759f2f-17f3-4872-b0b5-e09bbd1160ae,Aral Tankstelle,ARAL,Münchener Straße,16,82319,Starnberg,48.0013542,11.3497639
5543,5c260943-10ef-4129-8036-ad49ae5f35d5,MUENCHEN - VON-KAHR-STR. 62,Agip,Von-Kahr-Str.,62,80999,Muenchen,48.17759,11.46744
5553,5c731c1c-1682-4f5e-9eb3-723b79fcac83,Raiffeisen Aßling,Raiffeisen Aßling,Rosenheimer Str.,41,85617,Aßling,47.9869,12.004
5555,5c751aeb-d343-4e51-bd77-d0204dfce418,ISMANING - MUENCHNER STR.57,Agip,Muenchner Str.,57,85737,Ismaning,48.223357665253,11.669466114702
5566,5c97286d-228e-4def-8d30-2c2f63668b92,"MUENCHEN, NYMPHENBURGER STR",Shell,NYMPHENBURGER STR. 57-59,,80335,MUENCHEN,48.149381,11.548005
5639,5de4ac1e-69d6-4dd7-b5cf-eed0208f8214,Aral Tankstelle,ARAL,Münchener Straße,16,85540,Haar,48.10854,11.722106
5671,5e793b3b-c021-4e36-bd2c-55e357a3638e,Bergkirchen Gadastraße 1,OMV,Gadastraße,1,85232,Bergkirchen,48.23738,11.35283
5726,5f7e4b7d-482f-4707-a016-00c104984937,AEZ Tankstelle,Freie,Heimstättenstr. ,44,82256,Fürstenfeldbruck,48.17409,11.2326
5729,5f84a3a0-be8d-4941-b950-6804ac925c64,Esso Tankstelle,ESSO,MUENCHENER STR. 16, ,85391,ALLERSHAUSEN,48.430312,11.593763
5787,60c3a07c-2ebe-4073-adae-a667e22fd4c8,Aral Tankstelle,ARAL,Heinrich-Wieland-Straße,2,81735,München,48.11833,11.63108
5797,60fd1a1e-0278-4a19-b57e-14d6162523f7,BayWa Tankstelle Allershausen,BayWa,BürgermeisterSgoffStr.,2,85391,Allershausen,48.427895,11.581612
5799,610d4bf4-b1a1-4939-9a1f-d18c9f01a07d,GERMERING,Agip,Lise-Meitner-Strasse,2,82110,Germering,48.141191,11.369412
5852,620ba28e-edf4-43d7-bca3-eb0612952475,ALLGUTH GmbH  c/o Gabriele Schütz e.K.,ALLGUTH,Bodenseestr.,231,81243,München,48.142944,11.424927
5869,628d1482-faae-499a-8679-3f87f8c471f1,Berg Höhenrain West A95,OMV,Höhenrain West ,A95,82335,Berg,47.92858,11.40197
5871,628d8b6e-809e-40b9-4d49-6b370c589788,Tankstelle Schwägerl-Bäde,Freie Tankstelle Schwägerl-Bäde,Böhmerwaldstr.,23,82538,Geretsried,47.876258,11.470072
5895,62deee72-aaf3-4bd0-80e7-af9918b142ef,MUENCHEN - DACHAUER STRASSE 469,Agip,Dachauer Strasse,469,80993,Muenchen,48.1845378,11.5054179
5929,63981d4f-ee3c-442a-9e60-930aa69f2cad,Aral Tankstelle,ARAL,Miesbacher Straße,33,83607,Holzkirchen,47.8758049,11.710166
5935,63b147a8-dccc-4bdb-bf00-8bde0dcecd10,Aral Tankstelle,ARAL,Pasinger Straße,50,82166,Gräfelfing,48.1181,11.4426651
